MaCCQE,CoulombCCQE,MaNCEL,EtaNCEL,NormCCMEC,NormNCMEC,FracPN_CCMEC,FracDelta_CCMEC,MaCCRES,MvCCRES,MaNCRES,MvNCRES,NonRESBGvpCC1pi,NonRESBGvpCC2pi,NonRESBGvpNC1pi,NonRESBGvpNC2pi,NonRESBGvnCC1pi,NonRESBGvnCC2pi,NonRESBGvnNC1pi,NonRESBGvnNC2pi,NonRESBGvbarpCC1pi,NonRESBGvbarpCC2pi,NonRESBGvbarpNC1pi,NonRESBGvbarpNC2pi,NonRESBGvbarnCC1pi,NonRESBGvbarnCC2pi,NonRESBGvbarnNC1pi,NonRESBGvbarnNC2pi,AhtBY,BhtBY,CV1uBY,CV2uBY,AGKYxF1pi,AGKYpT1pi,MFP_pi,MFP_N,FrCEx_pi,FrInel_pi,FrAbs_pi,FrCEx_N,FrInel_N,FrAbs_N,RDecBR1gamma,RDecBR1eta,XSecShape_CCMEC,RPA_CCQE
2.69144,-3.27317,0.348212,-0.48674,1.49809,-0.996363,0.426639,-0.0464032,1.19994,-0.0749651,0.0689111,-0.169702,-0.840615,-0.231535,-0.159821,0.016772,0.522237,0.138231,-0.625862,-0.890818,-0.732149,0.816414,-0.456668,-1.31575,0.104033,-1.92818,-0.338422,-1.05209,-0.0866788,1.07678,-0.12468,-0.433459,0.223846,-0.48321,0.391665,-1.23818,0.696223,1.44331,1.50105,0.173766,1.09288,-0.959364,1.03936,-1.16911,1.0,0.151
3.52492,0.692344,-0.389906,1.00391,1.67286,0.413464,-0.681554,0.088992,0.631457,1.29454,0.200468,1.32661,0.486976,1.3194,-0.109304,-0.744402,1.36343,-0.55757,-0.77259,1.12107,-0.644953,-1.39829,0.512084,-0.560425,-0.610982,0.915494,-1.66879,-0.314415,0.321953,-1.37526,-1.2114,0.629979,1.02992,0.659609,-0.0986644,-0.907215,-0.245867,-0.0627736,-1.98261,-0.0806026,-0.366381,-1.17386,-0.0103128,-1.42237,1.0,0.151
7.70242,0.95775,0.221962,-0.71598,-0.448045,2.83161,-0.278234,-0.503749,0.131883,0.592462,1.20897,0.0921919,-0.46038,1.31489,0.897969,-0.398076,0.687619,-0.504859,-0.878092,0.81946,-0.022049,-0.00148615,0.23141,0.634394,-1.0042,-1.40455,-1.41372,-0.230252,-0.445138,-0.919324,0.026734,1.36321,1.47016,1.30657,-0.178075,-0.0572449,2.41936,-0.246689,0.843375,0.617231,1.39586,0.270024,1.82261,-0.399427,1.0,0.151
5.87432,0.551572,0.517592,1.75855,1.37023,-0.253612,0.584904,-0.474943,0.365845,-1.08449,0.177088,-1.09225,-0.032073,1.8311,0.295685,0.0106123,0.471605,0.107574,0.412933,1.21585,1.61553,-1.76448,-1.17486,-0.265793,1.95369,-0.132895,-1.73566,1.20688,0.555878,-0.087714,-0.211428,0.495249,1.45439,0.743721,0.0549003,0.921816,1.74676,0.217863,1.48795,0.132961,0.19762,-0.763759,-0.83955,0.276829,1.0,0.151
4.20008,-1.49152,1.1795,0.956503,0.882551,0.0780017,0.560309,0.857895,1.36944,-1.42065,1.2027,-0.049949,1.16386,0.0548544,0.113422,-1.08568,0.238805,-0.0995441,-1.28282,-0.0907245,-0.61433,0.448484,-0.548646,0.429425,-0.447739,-0.0876505,1.49894,0.301775,0.577834,-0.563941,0.270025,2.03273,-0.130622,-0.119576,-0.973736,0.270011,-0.387708,-0.18787,-1.47494,0.0361381,0.0936853,0.117535,-0.474759,0.758099,1.0,0.151
0.819276,-0.051649,-0.354408,1.01616,1.21309,-0.271847,-0.6192,1.57501,0.471133,0.516693,-0.087085,-0.0883411,0.203127,0.0924345,0.702768,0.264055,1.72437,2.15861,0.543462,1.42506,1.08008,0.513921,0.0902629,0.0764382,0.45048,0.595661,1.5335,1.65139,-0.93514,0.349156,0.408541,-0.50243,1.09697,-2.36833,-0.771842,-0.507882,-0.915415,2.11744,0.955109,0.076158,0.323195,-1.11903,-0.263688,-1.06141,1.0,0.151
11.4683,0.858432,0.763054,0.141518,1.64549,0.887025,-1.15129,0.203321,-3.07876,0.0711153,-1.20047,-1.56156,-0.305506,2.22744,-0.115849,0.187089,-1.44501,1.51201,0.394909,-3.62341,-1.22198,-0.728595,0.624956,0.973842,1.25046,-0.956631,-0.720417,-0.701236,0.552113,1.26384,-0.439108,1.37778,-1.25278,-1.51354,-1.99051,1.14624,0.948998,1.46513,-1.09324,-0.357587,-0.805055,0.480635,1.91694,-1.07318,1.0,0.151
12.8663,-2.45892,0.459729,1.76894,0.34888,-0.270867,-0.860544,0.173992,-0.593586,0.000950227,-0.973307,0.568514,-0.0852157,-0.972896,0.635072,0.64595,-0.919719,0.417832,-1.09571,-1.129,1.00078,0.129785,-0.948095,0.839942,1.2987,-1.68958,-0.859599,0.631963,-1.92352,-0.0523602,-2.94806,-0.713232,-0.743724,0.443404,-2.08053,-0.786011,1.75727,0.280208,-0.538433,-1.96387,0.17552,-0.139018,0.718286,-1.83188,1.0,0.151
5.19151,-1.02251,-0.0232032,1.1169,-0.671627,-0.226793,0.642214,1.04329,0.401608,-0.441614,-0.124072,1.98152,2.26271,1.3347,-1.79736,0.687403,-0.739706,-0.416985,1.12838,0.670843,0.0139507,0.65981,1.00101,-0.027304,0.290715,-0.203428,-0.77884,-0.944566,-2.08221,0.174354,0.752685,-1.73838,1.29687,-0.15249,1.71017,-0.791887,1.44934,1.30026,0.0272312,0.169339,0.957697,0.0889193,-1.40624,-0.425332,1.0,0.151
-2.28444,0.161375,-1.26638,-0.770064,1.02732,-3.88156,0.201682,1.67065,-0.841965,0.616257,1.16646,-1.92234,1.25837,1.9362,0.585115,-1.28797,0.143841,-1.27361,-0.54595,-1.41716,1.78627,-1.58972,-0.0862453,-0.0167097,1.39655,0.272666,-0.947934,0.640495,0.625737,-0.0759998,0.612733,-0.31614,0.130997,-0.599351,-0.917995,0.304863,-0.140135,-0.465239,-0.0354459,1.44235,-0.159417,0.214014,-0.38876,0.462668,1.0,0.151
7.69187,0.530581,-1.27286,-1.28166,1.25634,3.13265,0.055795,-0.306931,-0.0087041,0.0326814,-0.379733,-0.907088,-0.617941,0.824719,0.252432,-0.929089,0.295655,-0.470451,0.759786,0.528252,-1.79003,-0.588713,0.0645249,1.63534,0.459783,-1.95183,-1.25748,0.0718944,-0.657412,0.247597,-0.883914,-0.790959,-1.91425,-0.275393,0.57932,-1.56014,-0.542923,-0.799848,0.410046,0.540444,-0.422667,-1.58801,-0.838657,1.66322,1.0,0.151
12.1693,0.790213,0.870231,-1.33546,1.26989,0.164505,0.0624367,1.44895,-1.27912,-0.858462,0.627167,0.431979,-0.468262,0.990367,-1.76576,0.0157362,0.718588,-2.22691,-0.579889,0.260277,-0.236454,0.786682,-0.933344,-0.682429,-0.455713,0.920189,-1.52175,0.468593,2.71143,-0.439787,-1.62754,1.61532,-1.28998,0.21217,0.412069,0.802331,0.955738,0.637278,0.547436,-0.34602,-0.205317,-0.156002,-0.355183,-0.666968,1.0,0.151
-0.14756,-0.781166,-0.712309,-0.131161,0.365578,-1.28514,-1.2822,-0.735831,0.901087,0.662514,-0.0391164,1.5516,-1.55365,-1.35166,-0.211635,0.175378,-0.554174,0.313534,1.4199,-1.46749,-1.186,-0.319278,0.804746,-0.386328,1.32023,-0.0802754,2.76381,-0.476668,-0.866606,-0.828617,-0.63135,-1.70522,0.599936,1.0093,-1.67178,-2.06092,0.429686,-0.41763,-1.03523,0.320384,0.714037,-1.39872,0.730527,-0.319942,1.0,0.151
5.41873,-0.184928,-2.98269,1.0747,0.770865,-2.87698,0.853964,0.476768,-0.05619,-1.18153,-0.0179638,-2.33611,-1.49909,-1.04924,-0.996417,-1.45604,-0.772659,-2.26154,-0.337153,-1.43618,0.0765768,-0.197267,-1.75918,0.499087,0.158769,0.426952,-0.723749,-0.780167,-0.129712,-2.49298,-1.64767,-0.263585,-0.0653763,-1.48084,-0.898908,0.712465,-1.12273,-0.297033,-0.330828,-0.554583,0.231892,-1.99072,0.32331,-1.85165,1.0,0.151
2.87147,-1.09645,-1.6391,-0.94072,3.22844,-1.79965,0.800869,1.78128,1.02079,-0.455674,0.64182,-1.07664,-2.5236,-0.519598,-0.911655,0.219727,-1.64403,1.1709,1.26934,1.46663,0.372321,-0.0081571,0.931217,0.0105773,-1.5947,0.0685244,-1.06329,-1.92388,1.13452,0.688966,0.166806,1.73643,-0.568636,0.997028,-0.754942,0.653195,1.46546,-0.343739,-0.594017,-0.151001,-0.590172,-0.0543412,-1.46928,0.843171,1.0,0.151
4.02641,0.318902,-0.426903,0.528197,2.51645,-0.210201,0.584785,-1.47438,-0.242188,-0.203379,1.36542,0.215079,-0.00771648,-0.749817,2.23226,-1.31938,0.576889,0.638993,0.650085,-0.874305,0.955273,-1.59251,-0.789655,-0.239886,1.46868,-0.841983,-1.9074,0.561426,-0.129595,-0.0163971,0.339188,-0.558478,0.00590474,-0.466293,2.17733,0.0762772,-0.424553,-0.227869,0.518638,-0.829117,0.619107,1.25234,-0.439985,1.5401,1.0,0.151
5.91979,-1.14139,-0.0692894,1.59675,1.5155,-0.559096,-1.38414,-1.11892,0.21641,1.13079,-0.670834,0.557635,-1.68614,1.20385,0.361472,1.50842,0.994506,-1.2786,-1.55235,1.53703,1.87468,0.467041,-1.30807,2.80104,0.786737,0.999122,-0.569062,-0.254204,-1.17696,0.861911,-1.36752,-0.0271827,-0.29432,-1.36054,1.06012,-0.688807,-0.318379,-0.933721,0.141042,0.532959,0.688611,-0.697128,-0.126922,-2.13732,1.0,0.151
9.31415,-1.55159,-0.475985,1.10241,1.47858,1.21693,-1.94126,-0.197105,-0.562013,-0.603581,0.481974,-0.513011,-0.165644,1.28098,-0.556679,-0.295766,0.0330688,0.0581918,0.540446,-0.560557,-1.26468,-0.257766,0.89734,1.00225,-0.190218,-0.786989,0.991037,0.494855,-1.42703,0.555764,0.0576805,0.414405,0.358477,1.5218,0.109064,-0.713748,-0.716995,-1.41426,-3.39038,0.0604078,0.683911,-0.266298,0.249811,1.31443,1.0,0.151
5.45188,0.871712,-1.75763,0.589052,0.638794,-2.29049,-0.141544,-0.853854,-0.274223,0.215295,0.764892,-1.40759,1.01212,-1.42321,0.244736,0.645451,0.062078,-0.597224,-0.56351,-0.0971898,0.113435,0.170967,-0.638785,-0.156176,0.48491,-2.39206,-0.606742,-0.184974,2.5236,0.38682,-0.0390119,-0.206013,-0.237391,-1.95815,-0.812965,-1.48955,-1.1852,-0.0236146,0.682086,-0.696738,0.0561103,0.0870005,-0.113632,0.0265821,1.0,0.151
3.27275,0.090823,1.11512,-0.152278,2.64248,-1.38778,0.184981,-0.459538,0.850575,0.798369,0.133978,-2.13061,0.389748,-0.093985,-0.714464,0.417431,1.59518,0.628923,-0.189838,1.02845,-0.475224,0.791564,0.461494,0.479135,-0.876046,-0.548322,2.05057,0.727416,0.911696,0.539932,0.186665,0.419701,-0.777717,0.0788821,1.48676,-0.540181,-1.14325,-0.932516,1.08237,-0.640367,1.83227,-1.42014,2.12674,0.857476,1.0,0.151
9.63245,-3.0739,-0.208901,-0.404132,1.65712,0.974787,-0.583136,-0.56065,-1.672,0.161072,1.00294,1.6422,1.18029,0.299308,1.07467,0.637015,0.551881,-0.0168726,1.23248,0.868394,0.18853,0.837763,0.401626,-0.957609,-0.789458,-0.130524,-1.62287,0.451422,-0.0670927,-1.74193,-2.0626,1.08203,-0.512746,1.78577,-0.200801,-1.14987,0.720306,1.59195,0.0894331,-0.711484,-0.409236,-0.11279,-0.0426383,-1.19449,1.0,0.151
4.35509,-1.02566,0.363969,0.0184085,1.52059,-0.886194,0.484757,2.1169,-0.567544,1.09599,-0.0113049,-0.292773,-0.398523,0.238168,-2.32885,0.732805,1.22879,0.550415,-0.243069,0.418608,0.8668,1.29479,0.4405,0.279877,-0.364833,-0.437211,-0.82128,0.733113,0.0493101,-0.101661,-0.872372,1.15615,-0.831799,0.574785,-0.526508,0.431858,0.705613,-0.0971234,-0.39967,-0.8796,0.0201983,-0.858537,-1.71049,0.374059,1.0,0.151
4.3994,3.13788,0.663347,-1.72779,2.2647,-4.18973,0.863375,0.299647,0.64762,-0.0186835,-0.838587,-0.607558,0.272314,2.10667,-0.953858,0.838071,-0.267813,0.503306,1.04537,1.95643,-0.0278745,-0.285132,-1.43077,1.00643,0.81425,-2.83038,2.08989,-0.294752,0.635672,2.05995,1.07558,-0.0855444,-0.156028,0.617719,-0.685509,-1.06826,-0.374695,0.879966,0.00854348,-0.42356,-0.191053,1.95664,-1.52058,0.401606,1.0,0.151
5.24393,0.460098,-1.50012,-2.36792,-0.0567885,-1.1248,1.29902,-1.86316,0.299745,0.0207278,-1.96245,-0.233844,2.48876,-0.309421,-0.105711,0.701271,1.94192,1.79125,-1.11005,-0.0524506,-1.19154,0.601529,1.22643,1.39296,0.975969,-2.81649,0.529615,-0.175414,0.265925,-0.0341417,-0.780629,-0.706236,1.68241,-0.383514,-1.36279,0.994536,-0.142484,-0.342757,1.24541,-0.233331,0.467834,0.151238,-0.380837,-0.577128,1.0,0.151
2.67508,-0.287784,-2.06292,-1.49766,2.0578,-0.80073,-0.0135766,2.01696,0.159423,-0.516388,-1.18583,-0.593504,0.535616,0.891187,-1.76153,0.825171,-2.85101,-0.109272,0.288367,-0.753465,-0.218693,2.3383,0.000357232,-1.78077,0.443737,-1.56128,-0.893811,0.447798,-0.515742,0.49966,1.13579,0.640032,-0.191959,-0.988038,0.513535,-0.46371,1.30233,-1.10696,-0.198357,0.359373,-1.11072,-1.61452,-1.04232,-1.67985,1.0,0.151
5.89996,0.981443,-1.22157,0.523115,4.40941,-0.820949,1.10013,-2.00304,-0.744722,-0.543723,1.62086,-1.17883,2.02683,0.374063,-0.123785,-0.801062,-0.0639382,0.448261,0.0901954,0.708591,-0.0582596,0.563554,0.0259658,0.428899,-0.393021,1.13729,-0.327098,-1.52349,0.767163,0.146189,0.740231,-0.882476,-0.6945,1.2799,-0.617994,-0.373706,-1.20201,1.58575,-0.20585,0.189058,0.405044,0.232709,-1.83905,-1.16103,1.0,0.151
-0.469401,-0.456761,-0.257773,-2.01324,2.84682,1.39856,-0.198823,0.286646,0.353433,0.449861,0.344297,-0.908685,0.263896,1.05748,-2.23922,0.29804,-0.353101,-0.0242079,2.07286,-1.77793,-0.274232,-0.0510752,1.00603,-0.780241,-0.262048,0.119761,1.36803,0.203138,0.350221,0.247694,2.5577,0.714024,0.972564,-0.979155,0.755804,0.571586,1.13629,-0.143837,1.96449,-1.7168,-0.829924,1.52723,2.00862,0.64189,1.0,0.151
-1.92498,0.749034,-0.442442,-0.72087,0.898836,-1.53475,0.895476,-0.279626,-1.00994,0.0952291,-0.311569,0.305515,2.78098,2.14866,-0.535363,0.357645,-1.00078,0.638841,-2.35361,0.936749,0.517698,-1.77053,0.288361,-0.421612,-1.30879,0.0454623,0.881196,2.02879,-1.14041,-1.49101,-0.704887,0.317412,0.607907,-2.08726,-0.851716,0.0669437,-1.17306,0.010366,-0.52438,-1.14883,0.462265,1.06511,0.411102,-1.21157,1.0,0.151
4.80186,-0.12577,1.14413,1.81137,0.914075,-0.798096,0.177356,0.234796,0.776325,0.386568,-0.588901,0.303056,-1.2831,-0.968304,0.846899,0.114635,1.08372,1.00899,0.222387,0.0813569,-0.209118,1.30534,-1.67781,0.699337,-0.983057,0.0128728,0.20979,0.883903,1.73482,0.12017,-2.05359,0.641847,-0.358001,0.497625,-0.305618,0.0822501,-0.497202,-2.02378,0.903543,0.87125,0.176251,-0.236037,0.992786,0.153082,1.0,0.151
0.560521,1.6382,-2.40755,1.10924,0.540285,-1.29292,-0.613583,1.32465,0.202935,0.0325184,-0.0762169,-0.129208,0.34362,-0.488903,0.714312,0.310107,-0.0391369,-0.463205,-0.454697,1.21548,-0.474783,0.4813,-0.215393,-0.240061,0.340795,-0.565065,-0.108987,-0.592842,1.37504,0.109758,-1.49375,-0.145292,1.20332,1.00588,0.0134893,1.15009,1.84004,-0.396016,0.104245,-0.0651927,-1.00465,-0.514818,0.140159,-0.414362,1.0,0.151
12.8152,0.0246456,-2.02936,0.0992061,0.45389,-4.31964,-1.52309,1.30769,0.198595,-1.87971,-0.161327,-0.237234,-2.22639,0.870911,-2.37569,0.181596,0.347099,-0.656349,-1.14023,-1.58657,0.135619,0.146174,-1.14865,0.522374,0.0172333,-0.114938,0.635004,-0.335361,0.226392,0.901425,0.762121,-1.13698,0.394512,0.466552,-0.802828,-2.11673,-0.768543,-0.0512642,0.328398,-0.516198,0.306757,-0.522401,-1.01282,0.114478,1.0,0.151
4.44379,-4.74932,-2.09989,3.1226e-05,1.93163,0.314414,0.604647,-1.45625,0.47348,-1.06143,1.45483,-0.476496,-0.888025,-1.38806,-0.210779,-0.547693,-0.464936,-1.19279,0.567422,-0.42985,0.555868,-1.94483,0.305231,0.780229,0.804209,-0.238347,0.647399,2.06038,0.937778,-0.362118,0.632307,1.39699,0.889363,1.80505,0.197994,-0.217202,1.09037,0.700002,0.480616,0.0296356,-0.102208,0.696135,-1.46354,2.26169,1.0,0.151
2.39599,-0.812128,-0.239262,0.180002,0.933903,-1.30524,1.60929,-0.0208608,2.06461,-0.438355,-0.879327,0.152377,-1.97442,1.33426,0.93537,-1.89293,1.62957,-0.218296,-0.790301,-0.364877,-0.56821,-0.909987,0.817432,-0.0283566,0.197548,-1.1266,-0.498213,0.990314,-1.21145,-0.415224,0.538092,1.26745,0.25296,-0.332685,1.23792,0.230907,-0.49897,0.150971,0.322297,0.163624,-0.578113,0.194112,0.194565,1.88626,1.0,0.151
-0.383936,0.211645,-1.67884,-0.712792,0.792669,2.00437,-0.288639,0.0522839,0.113323,-2.27136,-1.09606,-0.626577,0.392296,0.172291,0.827046,2.03207,1.16768,0.965961,0.450655,-0.618783,-0.624933,1.8042,1.06238,-1.768,-0.343305,-0.227335,-0.415063,0.0397029,-1.10449,-0.40033,-0.660322,0.0717004,-0.147488,-1.328,-1.2993,-1.64176,0.0216246,0.0158566,-0.676244,-1.44977,-0.199477,1.36011,-1.33395,0.310369,1.0,0.151
3.85889,-0.18536,-0.279517,0.872881,2.2314,-4.01996,1.753,-0.683947,-0.641551,-0.334218,0.157219,-0.238079,-0.0453348,-0.0110481,-0.00871381,-2.71675,-0.679724,-0.359701,0.0739902,-0.0965732,1.14759,1.70281,-0.498522,-0.439359,-0.302655,-0.101733,1.62814,-0.62187,0.360694,0.896171,0.266389,-0.329256,0.958903,-0.545014,0.957207,-0.0961049,0.948852,-0.989714,0.95108,0.560352,0.892395,0.470313,-1.3236,0.639877,1.0,0.151
6.29039,0.40036,-0.404774,-0.0201139,0.883408,-0.170018,-0.637556,0.385761,0.237441,-0.596594,0.975898,0.563653,-0.492893,1.61661,2.56724,0.49072,0.768342,-1.75604,0.0403724,-0.593245,-1.26509,-0.687732,1.50677,-0.224551,1.22622,0.1724,0.604973,-0.308752,0.849443,0.27564,0.430345,-0.914969,2.9279,-0.470568,0.470802,2.32589,-0.260624,-0.989832,0.225344,1.26923,1.8542,-0.0173237,-1.85725,-0.152199,1.0,0.151
6.75412,-1.3473,-0.177189,-1.12255,2.09388,-3.10738,-0.285715,-0.870842,0.306155,-0.918219,0.22762,-1.1676,0.311133,-0.660725,1.1967,-0.376869,0.100379,-0.0795284,-0.358595,0.772652,-0.212033,-0.787897,0.112531,0.512747,0.259836,-0.678397,0.204679,1.25749,1.15477,0.68661,-0.563558,0.962997,0.216078,-0.510287,-1.33776,0.187857,-1.18724,-0.689791,-1.39432,-1.28452,-0.600065,0.0273658,0.492589,-0.821036,1.0,0.151
7.86547,1.17754,-1.45263,-0.640429,2.08311,1.4142,0.557573,-0.517607,1.68191,-0.838309,0.672275,2.07859,0.230497,0.0470413,-0.938241,-0.0474205,-0.401814,0.922488,0.770763,1.74798,-0.708716,0.212098,0.185808,2.1513,2.2833,-1.39315,-1.24668,-1.24582,-1.19804,-0.494176,-1.4325,-1.94765,0.709071,-0.276987,-1.17512,-1.37649,1.10585,-0.102747,-0.981795,0.0764617,0.0938045,0.528994,-0.507482,-1.6073,1.0,0.151
5.46875,0.0751224,0.510025,0.571143,0.069692,1.33863,-0.176068,2.63015,-0.756336,-0.454057,-0.739821,2.31979,0.216201,1.40367,0.049352,-0.263972,0.21712,-0.461263,-1.52857,1.79593,-0.0212466,0.381428,0.379726,1.43208,1.29047,-0.161507,0.820766,0.0335527,0.118904,-0.485533,0.271083,0.905283,-0.0255621,0.685963,-0.0324993,0.79252,-0.420818,0.0993235,-1.0115,0.806617,-0.306812,0.396453,0.906432,0.606785,1.0,0.151
5.717,-0.963184,0.256609,-0.868344,2.06004,1.33682,0.0648151,0.402128,-1.35193,-0.504756,0.779253,-2.35438,-0.00637358,-1.02009,1.21251,0.326641,0.82206,-0.914815,-0.824527,-0.593771,0.111217,-0.435553,-1.10502,2.77843,-0.0182865,0.827036,-0.433997,0.0341399,0.056249,-0.297537,0.199133,1.60915,1.20904,0.839251,1.74877,-2.10718,-1.04331,0.544406,0.591007,-0.525498,0.143781,-1.34166,-0.274199,-1.41031,1.0,0.151
2.57273,0.50143,-1.05779,0.109945,-0.0751966,0.545028,0.432093,0.860453,0.233408,-0.453565,0.0708937,1.35691,1.08485,1.3804,-0.864567,1.21967,0.277553,0.209943,0.010264,1.82377,-1.33509,-1.43355,-0.713812,-0.58328,1.21302,0.695309,0.911348,-0.511825,-0.140087,1.31903,0.267254,-0.891783,-0.85114,-2.1497,0.835095,0.520988,0.659915,-0.0735774,0.409816,-1.51007,0.294692,-0.338272,1.65143,-1.67806,1.0,0.151
